row	col	stype	detail	dilution			
G	5	sample	Mo Stab Pos Hi - Transfer Plastic 3 cycles	200			
G	6	sample	Mo Stab Pos Hi - Transfer Plastic 3 cycles	200			
G	7	sample	Mo Stab Pos Lo - Transfer Plastic 1 cycle	200			
G	8	sample	Mo Stab Pos Lo - Transfer Plastic 1 cycle	200			
G	9	sample	Mo Stab Pos Lo - Transfer Plastic 2 cycles	200			
G	10	sample	Mo Stab Pos Lo - Transfer Plastic 2 cycles	200			
G	11	sample	Mo Stab Pos Lo - Transfer Plastic 3 cycles	200			
G	12	sample	Mo Stab Pos Lo - Transfer Plastic 3 cycles	200			
H	1	sample	Mo Stab Pos Hi - Transfer Plastic 1 cycle	200			
H	2	sample	Mo Stab Pos Hi - Transfer Plastic 1 cycle	200			
H	3	sample	Mo Stab Pos Hi - Transfer Plastic 2 cycles	200			
H	4	sample	Mo Stab Pos Hi - Transfer Plastic 2 cycles	200			
H	5	sample	Mo Stab Pos Hi - Transfer Plastic 3 cycles	200			
H	6	sample	Mo Stab Pos Hi - Transfer Plastic 3 cycles	200			
H	7	sample	Mo Stab Pos Lo - Transfer Plastic 1 cycle	200			
H	8	sample	Mo Stab Pos Lo - Transfer Plastic 1 cycle	200			
H	9	sample	Mo Stab Pos Lo - Transfer Plastic 2 cycles	200			
H	10	sample	Mo Stab Pos Lo - Transfer Plastic 2 cycles	200			
H	11	sample	Mo Stab Pos Lo - Transfer Plastic 3 cycles	200			
H	12	sample	Mo Stab Pos Lo - Transfer Plastic 3 cycles	200			
